,Watched,Date,Day,Rating,movieId,title,genres,release_date,vote_average,vote_count,keywords
149,with gf,15/12/2018,saturday,4,281957,The Revenant,"Western, Drama, Adventure, Thriller",25/12/2015,7.3,6560,"father son relationship, rape, based on novel, mountain, winter"
150,with gf,29/10/2018,monday,4,72113,Carnage,"Comedy, Drama",16/09/2011,7,760,"flat, mobile phone, hamster, insult, dark comedy"
151,Alone,11/11/2018,sunday,4,941,Lethal Weapon,"Adventure, Action, Comedy, Thriller, Crime",06/03/1987,7,1370,"self-destruction, los angeles, police detective, ex soldier, buddy cop"
152,Alone,28/10/2018,sunday,4,58574,Sherlock Holmes: A Game of Shadows,"Adventure, Action, Crime, Mystery",22/11/2011,7,3970,"detective inspector, steampunk, criminal mastermind"
153,with gf,10/04/2018,tuesday,4,6978,Big Trouble in Little China,"Action, Adventure, Comedy, Fantasy",30/05/1986,7.1,730,"kung fu, chinatown, magic, mystery"
154,Alone,08/12/2018,saturday,4,329865,Arrival,"Thriller, Drama, Science Fiction, Mystery",10/11/2016,7.2,5730,"spacecraft, language, loss, romance, alien"
155,with gf,28/06/2018,thursday,4,1592,Primal Fear,"Crime, Drama, Mystery, Thriller",03/04/1996,7.4,640,"corruption, bishop, court case, pornographic video, court"
156,with gf,28/02/2019,thursday,4.5,603,The Matrix,"Action, Science Fiction",30/03/1999,7.9,9080,"saving the world, artificial intelligence, man vs machine, philosophy, prophecy"
157,Alone,05/11/2018,monday,4.5,679,Aliens,"Horror, Action, Thriller, Science Fiction",18/07/1986,7.7,3280,"android, extraterrestrial technology, space marine, spaceman, cryogenics"
158,Alone,02/05/2018,wednesday,4.5,393,Kill Bill: Vol. 2,"Action, Crime, Thriller",16/04/2004,7.7,4060,"brother brother relationship, swordplay, katana, mother role, rage and hate"
159,Alone,20/10/2018,saturday,4.5,578,Jaws,"Horror, Thriller, Adventure",18/06/1975,7.5,2630,"fishing, atlantic ocean, bathing, shipwreck, police chief"
160,Alone,27/01/2019,sunday,4.5,673,Harry Potter and the Prisoner of Azkaban,"Adventure, Fantasy, Family",31/05/2004,7.7,6040,"flying, traitor, magic, cutting the cord, child hero"
161,with gf,29/04/2018,sunday,4.5,671,Harry Potter and the Philosopher's Stone,"Adventure, Fantasy, Family",16/11/2001,7.5,7190,"witch, christmas party, magic, cutting the cord, halloween"
162,with gf,16/06/2018,saturday,4.5,277216,Straight Outta Compton,"Drama, Music",13/08/2015,7.7,1380,"brother brother relationship, aids, police brutality, rap music, hip-hop"
163,with gf,09/10/2018,tuesday,4.5,525,The Blues Brothers,"Music, Comedy, Action, Crime",17/06/1980,7.5,1090,"dancing, prison, chicago, country music, nun"
164,with gf,29/11/2018,thursday,4.5,400928,Gifted,Drama,12/04/2017,7.7,550,"cat, intellectually gifted, child prodigy, mathematics, teacher"
165,with gf,26/01/2019,saturday,4.5,197,Braveheart,"Action, Drama, History, War",24/05/1995,7.7,3400,"individual, scotland, in love with enemy, legend, independence"
166,Alone,23/05/2018,wednesday,4.5,45269,The King's Speech,"Drama, History",06/09/2010,7.6,2820,"great britain, radio, monarchy, radio transmission, royal family"
167,Alone,12/08/2018,sunday,4.5,222935,The Fault in Our Stars,"Romance, Drama",16/05/2014,7.6,3870,"amsterdam, based on novel, support group, cancer, teenager"
168,Alone,28/10/2018,sunday,4.5,70,Million Dollar Baby,Drama,15/12/2004,7.7,2520,"transporter, suicide attempt, strong woman, boxer, dying and death"
169,Alone,16/01/2019,wednesday,4.5,272,Batman Begins,"Action, Crime, Drama",10/06/2005,7.5,7510,"himalaya, martial arts, dc comics, crime fighter, secret identity"
170,with gf,27/04/2018,friday,4.5,20453,3 Idiots,"Drama, Comedy, Romance",23/12/2009,7.8,850,"suicide, suicide attempt, college, friends, engineering"
171,Alone,19/12/2018,wednesday,4.5,2493,The Princess Bride,"Adventure, Family, Fantasy, Comedy, Romance",18/09/1987,7.6,1520,"swashbuckler, evil prince, reference to socrates, reference to plato, screwball"
172,Alone,28/04/2018,saturday,4.5,782,Gattaca,"Thriller, Science Fiction, Mystery, Romance",07/09/1997,7.5,1850,"paraplegic, suicide attempt, cheating, dna, spaceman"
