,Watched,Day,movieId,title,genres,release_date,vote_average,vote_count,keywords
64,with family,sunday,76640,The Last Stand,"Action, Crime, Thriller",2013,5.5,1300,"sheriff, small town, hostage, prisoner, fbi"
65,with family,wednesday,1970,The Grudge,"Horror, Mystery, Thriller",2004,6.0,900,"male nudity, nurse, japanese, house, remake"
66,with family,thursday,11452,National Lampoon’s Van Wilder,"Comedy, Romance",2002,6.0,900,"male nudity, female nudity, sex, college, locker room"
67,with family,thursday,13207,Friday the 13th,Horror,2009,5.5,600,"teenager, cabin in the woods, axe murder, camp counselor, jason vorhees"
68,with family,tuesday,258489,The Legend of Tarzan,"Action, Adventure",2016,5.5,2500,"africa, feral child, tarzan, jungle, animal attack"
69,with family,friday,58595,Snow White and the Huntsman,"Adventure, Fantasy, Drama",2012,6.0,3200,"queen, magic, fairy tale, immortality, forest"
70,with family,thursday,47971,xXx: Return of Xander Cage,"Action, Adventure, Crime",2017,5.5,1500,"tattoo, spy, airplane, secret agent, parachute"
71,with family,monday,8247,Jumper,"Adventure, Fantasy, Science Fiction",2008,6.0,1900,"adolescence, based on novel, loss of child, fight, chase"
72,Alone,friday,91314,Transformers: Age of Extinction,"Science Fiction, Action, Adventure",2014,6.0,3100,"sequel, alien, transformers, giant robot, robot"
73,with family,friday,1995,Lara Croft: Tomb Raider,"Adventure, Fantasy, Action, Thriller",2001,5.5,2200,"treasure, buddhist monk, planetary configuration, angkor wat, illuminati"
74,with family,saturday,59962,This Means War,"Action, Comedy, Romance",2012,6.0,1400,"love triangle, friendship, dating, sushi bar, exploding airplane"
75,with family,wednesday,10025,Just My Luck,"Comedy, Drama, Family, Fantasy, Romance",2006,6.0,500,"jinx, bad luck, kiss, romantic comedy, alcohol abuse"
76,with gf,tuesday,8836,The X Files: I Want to Believe,"Drama, Mystery, Science Fiction, Thriller",2008,5.5,500,"extraterrestrial technology, fbi, alien, fbi agent, duringcreditsstinger"
77,Alone,sunday,228165,The SpongeBob Movie: Sponge Out of Water,"Animation, Adventure, Comedy, Family",2015,5.5,700,"ocean, sea, star, water, comedy"
78,with family,wednesday,9506,Anger Management,Comedy,2003,6.0,900,"penalty, therapist, psychology, aggression, rage"
79,with family,tuesday,57201,The Lone Ranger,"Action, Adventure, Western",2013,6.0,2400,"texas, horse, survivor, texas ranger, partner"
80,Alone,sunday,6282,Coyote Ugly,"Comedy, Drama, Music, Romance",2000,6.0,600,"bar, musical, beautiful woman"
81,with family,friday,296,Terminator 3: Rise of the Machines,"Action, Thriller, Science Fiction",2003,6.0,2200,"saving the world, artificial intelligence, man vs machine, cyborg, killer robot"
82,with family,thursday,2268,The Golden Compass,"Adventure, Fantasy",2007,6.0,1400,"england, compass, experiment, lordship, uncle"
83,with family,friday,254473,Brick Mansions,"Action, Crime, Drama",2014,5.5,600,"martial arts, atomic bomb, ghetto, parkour, cops"
84,with family,tuesday,24021,The Twilight Saga: Eclipse,"Adventure, Fantasy, Drama, Romance",2010,6.0,2400,"vampire, graduation, bite, immortality, werewolf"
85,with family,tuesday,324668,Jason Bourne,"Action, Thriller",2016,6.0,2400,"assassin, amnesia, flashback"
86,with gf,sunday,10313,The Men Who Stare at Goats,"Comedy, War",2009,6.0,800,"vietnam veteran, kuwait, new age, staring contest, drug use"
87,with family,friday,38117,Beastly,"Drama, Fantasy, Romance",2011,6.0,900,"based on novel, love, beautiful woman, curse, teenager"
88,with family,friday,34016,She's Out of My League,"Comedy, Romance",2010,6.0,500,"confidence, romantic comedy, dating, insecurity, airport security"
89,with family,tuesday,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,"Fantasy, Action, Adventure, Comedy",2016,6.0,1000,"brother brother relationship, turtle, sequel, based on comic, ninja"
90,with gf,wednesday,80271,LOL,"Drama, Comedy, Romance",2012,6.0,900,"coming of age, mother daughter relationship, teen movie, teenager, based on movie"
91,with family,saturday,33909,Wall Street: Money Never Sleeps,"Drama, Crime",2010,6.0,500,duringcreditsstinger
92,with family,sunday,126889,Alien: Covenant,"Horror, Science Fiction, Thriller",2017,5.5,2700,"android, space travel, alien life-form, infection, egg"
93,with family,monday,28211,Chloe,"Drama, Thriller, Mystery",2009,6.0,500,"toronto, lesbian, remake of french film, suspicious wife, female doctor"
94,Alone,wednesday,50619,The Twilight Saga: Breaking Dawn - Part 1,"Adventure, Fantasy, Romance",2011,6.0,2600,"based on novel, vampire, werewolf, duringcreditsstinger, fang vamp"
95,with family,saturday,58224,Mr. Popper's Penguins,"Comedy, Family",2011,5.5,800,"taxi, restaurant, zoo, penguin, ex husband"
96,Alone,saturday,869,Planet of the Apes,"Thriller, Science Fiction, Action, Adventure",2001,5.5,1300,"gorilla, space marine, space suit, revolution, chimp"
97,with family,sunday,331313,Keeping Up with the Joneses,"Action, Comedy",2016,6.0,600,suburb
98,Alone,wednesday,152760,The Monuments Men,"War, Drama, History, Action",2014,6.0,1500,"world war ii, nazis, art theft, post world war ii"
99,with gf,friday,308639,Dope,"Crime, Drama, Comedy",2015,7.0,700,"california, hip-hop, harvard university, geek, coming of age"
100,with gf,sunday,1878,Fear and Loathing in Las Vegas,"Adventure, Drama, Comedy",1998,7.0,1300,"gonzo journalist, sweaty face, fake identity, wedding chapel, grapefruit"
101,with gf,sunday,152584,Blue Is the Warmest Color,"Romance, Drama",2013,7.0,1100,"france, homophobia, love, lesbian relationship, gay interest"
102,Alone,monday,9473,"South Park: Bigger, Longer & Uncut","Animation, Comedy, Music",1999,7.0,900,"gay, mount rushmore national memorial, swear word, hell, world supremacy"
